Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Alexandre Lacazette,FW,26,1991,32,26,2202,24.5,14,4,18,12,2,2,1,0,13.7,12.1,4.4,16.5,39,59,233,0.57,0.16,0.74,0.49,0.65,0.56,0.18,0.74,0.49,0.67
Freddie Ladapo,FW,24,1993,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adam Lallana,"MF,FW",29,1988,12,1,244,2.7,0,0,0,0,0,0,1,0,1.5,1.5,0.4,1.8,12,33,38,0.00,0.00,0.00,0.00,0.00,0.55,0.13,0.68,0.55,0.68
Érik Lamela,"FW,MF",25,1992,25,7,843,9.4,2,2,4,2,0,0,4,0,3.4,3.4,2.0,5.4,30,46,116,0.21,0.21,0.43,0.21,0.43,0.37,0.21,0.57,0.37,0.57
Manuel Lanzini,"MF,FW",24,1993,27,23,2042,22.7,5,6,11,5,0,1,4,0,3.9,3.1,4.1,7.2,65,156,96,0.22,0.26,0.48,0.22,0.48,0.17,0.18,0.35,0.14,0.32
Aymeric Laporte,DF,23,1994,9,9,806,9.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,15,72,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Jamaal Lascelles,DF,23,1993,33,32,2928,32.5,3,0,3,3,0,0,5,0,1.1,1.1,0.7,1.8,17,73,10,0.09,0.00,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05
Florian Lejeune,DF,26,1991,24,24,2103,23.4,0,2,2,0,0,0,3,0,0.6,0.6,1.5,2.1,18,67,4,0.00,0.09,0.09,0.00,0.09,0.03,0.06,0.09,0.03,0.09
Mario Lemina,MF,23,1993,25,20,1720,19.1,1,1,2,1,0,0,2,0,0.8,0.8,0.7,1.5,51,86,36,0.05,0.05,0.10,0.05,0.10,0.04,0.04,0.08,0.04,0.08
Aaron Lennon,MF,30,1987,14,13,1118,12.4,0,2,2,0,0,0,2,0,0.6,0.6,0.8,1.4,26,28,60,0.00,0.16,0.16,0.00,0.16,0.05,0.07,0.11,0.05,0.11
Aaron Lennon,"FW,MF",30,1987,15,9,793,8.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,17,19,33,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05
