Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Tom Barkhuizen,"FW,MF",31,1993,19,2,404,4.5,0,0,0,0,0,0,2,0,0.7,0.7,0.2,0.9,13,8,33,0.00,0.00,0.00,0.00,0.00,0.15,0.04,0.19,0.15,0.19
Daniel Barlaser,MF,27,1997,23,12,1155,12.8,1,1,2,1,0,0,2,0,0.3,0.3,2.4,2.7,11,83,22,0.08,0.08,0.16,0.08,0.16,0.03,0.19,0.21,0.03,0.21
Ashley Barnes,"FW,MF",34,1989,8,1,173,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,8,6,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16
Ashley Barnes,"FW,MF",34,1989,13,1,134,1.5,1,1,2,1,0,0,1,0,0.9,0.9,0.3,1.2,1,3,5,0.67,0.67,1.34,0.67,1.34,0.61,0.23,0.84,0.61,0.84
Louie Barry,"FW,MF",21,2003,4,2,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,7,3,14,0.00,0.00,0.00,0.00,0.00,0.10,0.04,0.14,0.10,0.14
Kyle Bartley,DF,33,1991,31,30,2610,29.0,0,0,0,0,0,0,5,1,1.9,1.9,1.0,2.9,7,66,3,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.10,0.06,0.10
Norman Bassette,FW,19,2004,25,11,907,10.1,2,0,2,2,0,0,5,0,4.8,4.8,0.2,5.1,11,6,46,0.20,0.00,0.20,0.20,0.20,0.48,0.02,0.50,0.48,0.50
Danny Batth,DF,33,1990,37,34,3009,33.4,2,0,2,2,0,0,5,0,2.1,2.1,0.8,2.9,4,59,6,0.06,0.00,0.06,0.06,0.06,0.06,0.02,0.09,0.06,0.09
Patrick Bauer,DF,31,1992,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
James Beadle,GK,20,2004,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Owen Beck,"DF,FW",21,2002,24,21,1874,20.8,1,0,1,1,0,0,3,1,1.1,1.1,1.4,2.6,32,37,62,0.05,0.00,0.05,0.05,0.05,0.05,0.07,0.12,0.05,0.12
Chris Bedia,FW,28,1996,21,9,921,10.2,3,0,3,2,1,1,0,0,4.7,4.0,0.7,4.6,6,9,29,0.29,0.00,0.29,0.20,0.20,0.46,0.07,0.53,0.39,0.45
Amari'i Bell,DF,30,1994,31,31,2706,30.1,0,0,0,0,0,0,1,0,0.2,0.2,0.8,1.0,39,141,37,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03
Sam Bell,"FW,DF",22,2002,20,0,440,4.9,0,0,0,0,0,0,0,0,1.6,1.6,0.5,2.1,8,6,58,0.00,0.00,0.00,0.00,0.00,0.32,0.11,0.42,0.32,0.42
Jobe Bellingham,MF,18,2005,40,39,3507,39.0,4,3,7,4,0,0,10,1,3.0,3.0,2.9,5.9,52,193,103,0.10,0.08,0.18,0.10,0.18,0.08,0.07,0.15,0.08,0.15
Bachir Belloumi,"FW,MF",22,2002,10,10,815,9.1,2,2,4,2,0,0,1,0,2.4,2.4,2.3,4.6,36,42,99,0.22,0.22,0.44,0.22,0.44,0.26,0.25,0.51,0.26,0.51
Anis Ben Slimane,MF,23,2001,33,25,2091,23.2,2,2,4,2,0,0,6,0,2.1,2.1,2.7,4.8,29,90,76,0.09,0.09,0.17,0.09,0.17,0.09,0.12,0.21,0.09,0.21
Anis Ben Slimane,MF,23,2001,3,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
Joe Bennett,DF,34,1990,12,8,744,8.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,21,6,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Daniel Bennie,"FW,MF",18,2006,12,1,216,2.4,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,9,10,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12
Jóhann Berg Guðmundsson,MF,33,1990,1,0,16,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,5.63,0.00,5.63,5.63,5.63,0.45,0.00,0.45,0.45,0.45
Di'Shon Bernard,DF,23,2000,27,26,2235,24.8,2,0,2,2,0,0,9,2,2.0,2.0,0.4,2.4,5,57,7,0.08,0.00,0.08,0.08,0.08,0.08,0.02,0.10,0.08,0.10
Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
