Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Jesse Bosch,nl NED,MF,Willem II,24,2000,33,32,2713,30.1,6,0,6,6,0,0,7,0,2.6,2.6,1.9,4.5,30,81,73,0.20,0.00,0.20,0.20,0.20,0.09,0.06,0.15,0.09,0.15
Sven Bouland,nl NED,DF,Groningen,,,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17
Rayane Bounida,be BEL,FW,Ajax,18,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Can Bozdogan,de GER,MF,Utrecht,23,2001,9,4,402,4.5,1,1,2,1,0,0,2,0,0.6,0.6,0.1,0.6,5,17,11,0.22,0.22,0.45,0.22,0.45,0.13,0.01,0.15,0.13,0.15
Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,30,1993,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oliver Braude,no NOR,DF,Heerenveen,20,2004,33,31,2607,29.0,0,2,2,0,0,0,10,0,0.4,0.4,0.8,1.2,70,167,66,0.00,0.07,0.07,0.00,0.07,0.01,0.03,0.04,0.01,0.04
Myron van Brederode,nl NED,FW,AZ Alkmaar,21,2003,3,2,171,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,4,12,14,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.13,0.10,0.13
Michael Bresser,nl NED,DF,PSV Eindhoven,17,2007,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jakob Breum,dk DEN,"MF,FW",Go Ahead Eag,20,2003,26,23,2059,22.9,10,5,15,10,0,0,4,0,6.3,6.3,4.0,10.3,46,125,131,0.44,0.22,0.66,0.44,0.66,0.28,0.17,0.45,0.28,0.45
Brian Brobbey,nl NED,FW,Ajax,22,2002,30,22,1555,17.3,4,3,7,4,0,0,6,0,10.2,10.2,1.5,11.8,18,19,168,0.23,0.17,0.41,0.23,0.41,0.59,0.09,0.68,0.59,0.68
Michael Brouwer,nl NED,GK,Utrecht,31,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luuk Brouwers,nl NED,MF,Heerenveen,26,1998,24,23,1908,21.2,3,2,5,3,0,0,5,0,3.5,3.5,1.2,4.7,25,87,80,0.14,0.09,0.24,0.14,0.24,0.16,0.06,0.22,0.16,0.22
Jordy Bruijn,nl NED,MF,Heracles Almelo,28,1996,9,3,307,3.4,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,7,12,15,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.18,0.13,0.18
Max Bruns,nl NED,DF,Twente,21,2002,23,19,1635,18.2,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,23,81,3,0.00,0.06,0.06,0.00,0.06,0.04,0.03,0.07,0.04,0.07
Thomas Bruns,nl NED,"MF,FW",Heracles Almelo,32,1992,22,14,1155,12.8,3,2,5,3,0,0,5,0,2.6,2.6,2.6,5.2,18,40,42,0.23,0.16,0.39,0.23,0.39,0.20,0.20,0.40,0.20,0.40
Charles-Andréas Brym,ca CAN,"FW,MF",Sparta R'dam,25,1998,12,2,308,3.4,0,1,1,0,0,0,0,0,1.8,1.8,1.1,2.9,7,3,25,0.00,0.29,0.29,0.00,0.29,0.54,0.31,0.85,0.54,0.85
