Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Kaio,FW,20,2004,17,16,1299,14.4,2,3,5,2,0,0,4,0,2.7,2.7,2.3,5.0,45,61,125,0.14,0.21,0.35,0.14,0.35,0.18,0.16,0.35,0.18,0.35
Kaique,GK,21,2003,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Osman Kakay,DF,26,1997,9,6,577,6.4,0,0,0,0,0,0,3,1,0.0,0.0,0.2,0.2,5,16,23,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.04
Kali,DF,20,2003,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Issiaka Kamate,"FW,MF",19,2004,8,4,350,3.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,8,8,19,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13
Jorge Karse,DF,19,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kazu,DF,24,2000,11,6,533,5.9,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,7,25,30,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Keliano,MF,21,2003,21,13,976,10.8,0,1,1,0,0,0,7,0,0.2,0.2,0.2,0.4,8,39,9,0.00,0.09,0.09,0.00,0.09,0.02,0.02,0.04,0.02,0.04
Kewin,GK,28,1995,29,29,2610,29.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kikas,FW,25,1998,32,23,2104,23.4,6,1,7,6,0,0,4,0,6.6,6.6,0.9,7.5,26,19,107,0.26,0.04,0.30,0.26,0.30,0.28,0.04,0.32,0.28,0.32
Gustavo Klismahn,"MF,FW",24,1999,17,9,822,9.1,0,3,3,0,0,0,2,0,0.5,0.5,1.7,2.1,15,35,30,0.00,0.33,0.33,0.00,0.33,0.05,0.18,0.23,0.05,0.23
Ruben Kluivert,DF,23,2001,21,13,1229,13.7,1,0,1,1,0,0,5,0,0.6,0.6,0.1,0.7,2,27,5,0.07,0.00,0.07,0.07,0.07,0.04,0.00,0.05,0.04,0.05
Koka,"FW,MF",31,1993,9,0,167,1.9,1,0,1,1,0,0,2,0,0.8,0.8,0.2,1.1,3,4,5,0.54,0.00,0.54,0.54,0.54,0.45,0.13,0.58,0.45,0.58
Orkun Kökçü,MF,23,2000,33,30,2633,29.3,7,7,14,5,2,2,8,0,4.7,3.1,7.5,10.6,65,309,110,0.24,0.24,0.48,0.17,0.41,0.16,0.26,0.42,0.11,0.36
Moussa Koné,"MF,FW",27,1996,7,4,311,3.5,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,1,0,11,0.00,0.00,0.00,0.00,0.00,0.16,0.03,0.19,0.16,0.19
Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Konstantinos Kostoulas,DF,19,2005,3,2,191,2.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vladan Kovačević,GK,26,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andrian Kraev,MF,25,1999,26,20,1664,18.5,1,0,1,1,0,0,9,0,1.7,1.7,0.1,1.8,4,62,13,0.05,0.00,0.05,0.05,0.05,0.09,0.01,0.10,0.09,0.10
Layvin Kurzawa,"DF,MF",31,1992,4,2,170,1.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,2,10,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
Chiheb Labidi,"MF,FW",23,2001,17,4,411,4.6,1,0,1,1,0,0,3,0,0.1,0.1,0.1,0.3,6,26,5,0.22,0.00,0.22,0.22,0.22,0.03,0.03,0.06,0.03,0.06
André Lacximicant,FW,23,2001,27,11,993,11.0,5,3,8,5,0,0,4,0,5.6,5.6,1.1,6.7,27,14,51,0.45,0.27,0.73,0.45,0.73,0.50,0.10,0.60,0.50,0.60
Chico Lamba,DF,21,2003,26,25,2265,25.2,1,2,3,1,0,0,6,0,0.7,0.7,0.6,1.3,9,63,5,0.04,0.08,0.12,0.04,0.12,0.03,0.02,0.05,0.03,0.05
